"Scenario","Campaign","Society__KP_Defaults.COMMERCIAL.Concurrency_Parameters.HIGH.Max_Simultaneous_Relationships_Female","Report_HIV_Period","Values__KP_PrEP_Neg_Time_Value_Map","Demographic_Coverage__KP_PrEP_Pos_Coverage","Values__KP_PrEP_High_Time_Value_Map","Demographic_Coverage__KP_PrEP_Partner_Coverage","Values__KP_Delay_Duration_Days","Report_HIV_ByAgeAndGender_Collect_Intervention_Data"
"neg-10-rr-1-delay-0","campaign_prep_by_partnership_delayed.json",6,365,"[0.1,0.1]",0.1,"[0.1,0.1]",0.1,0,"[""PrEP_Pos"", ""PrEP_Neg"", ""PrEP_High"", ""PrEP_Partner""]"
"neg-10-rr-1-delay-30","campaign_prep_by_partnership_delayed.json",6,365,"[0.1,0.1]",0.1,"[0.1,0.1]",0.1,30,"[""PrEP_Pos"", ""PrEP_Neg"", ""PrEP_High"", ""PrEP_Partner""]"
"neg-10-rr-1-delay-90","campaign_prep_by_partnership_delayed.json",6,365,"[0.1,0.1]",0.1,"[0.1,0.1]",0.1,90,"[""PrEP_Pos"", ""PrEP_Neg"", ""PrEP_High"", ""PrEP_Partner""]"
"neg-40-rr-1-delay-0","campaign_prep_by_partnership_delayed.json",6,365,"[0.4,0.4]",0.4,"[0.4,0.4]",0.4,0,"[""PrEP_Pos"", ""PrEP_Neg"", ""PrEP_High"", ""PrEP_Partner""]"
"neg-40-rr-1-delay-30","campaign_prep_by_partnership_delayed.json",6,365,"[0.4,0.4]",0.4,"[0.4,0.4]",0.4,30,"[""PrEP_Pos"", ""PrEP_Neg"", ""PrEP_High"", ""PrEP_Partner""]"
"neg-40-rr-1-delay-90","campaign_prep_by_partnership_delayed.json",6,365,"[0.4,0.4]",0.4,"[0.4,0.4]",0.4,90,"[""PrEP_Pos"", ""PrEP_Neg"", ""PrEP_High"", ""PrEP_Partner""]"
"neg-70-rr-1-delay-0","campaign_prep_by_partnership_delayed.json",6,365,"[0.7,0.7]",0.7,"[0.7,0.7]",0.7,0,"[""PrEP_Pos"", ""PrEP_Neg"", ""PrEP_High"", ""PrEP_Partner""]"
"neg-70-rr-1-delay-30","campaign_prep_by_partnership_delayed.json",6,365,"[0.7,0.7]",0.7,"[0.7,0.7]",0.7,30,"[""PrEP_Pos"", ""PrEP_Neg"", ""PrEP_High"", ""PrEP_Partner""]"
"neg-70-rr-1-delay-90","campaign_prep_by_partnership_delayed.json",6,365,"[0.7,0.7]",0.7,"[0.7,0.7]",0.7,90,"[""PrEP_Pos"", ""PrEP_Neg"", ""PrEP_High"", ""PrEP_Partner""]"
"neg-5-rr-2-delay-0","campaign_prep_by_partnership_delayed.json",6,365,"[0.05,0.05]",0.1,"[0.1,0.1]",0.1,0,"[""PrEP_Pos"", ""PrEP_Neg"", ""PrEP_High"", ""PrEP_Partner""]"
"neg-5-rr-2-delay-30","campaign_prep_by_partnership_delayed.json",6,365,"[0.05,0.05]",0.1,"[0.1,0.1]",0.1,30,"[""PrEP_Pos"", ""PrEP_Neg"", ""PrEP_High"", ""PrEP_Partner""]"
"neg-5-rr-2-delay-90","campaign_prep_by_partnership_delayed.json",6,365,"[0.05,0.05]",0.1,"[0.1,0.1]",0.1,90,"[""PrEP_Pos"", ""PrEP_Neg"", ""PrEP_High"", ""PrEP_Partner""]"
"neg-15-rr-2-delay-0","campaign_prep_by_partnership_delayed.json",6,365,"[0.15,0.15]",0.3,"[0.3,0.3]",0.3,0,"[""PrEP_Pos"", ""PrEP_Neg"", ""PrEP_High"", ""PrEP_Partner""]"
"neg-15-rr-2-delay-30","campaign_prep_by_partnership_delayed.json",6,365,"[0.15,0.15]",0.3,"[0.3,0.3]",0.3,30,"[""PrEP_Pos"", ""PrEP_Neg"", ""PrEP_High"", ""PrEP_Partner""]"
"neg-15-rr-2-delay-90","campaign_prep_by_partnership_delayed.json",6,365,"[0.15,0.15]",0.3,"[0.3,0.3]",0.3,90,"[""PrEP_Pos"", ""PrEP_Neg"", ""PrEP_High"", ""PrEP_Partner""]"
"neg-25-rr-2-delay-0","campaign_prep_by_partnership_delayed.json",6,365,"[0.25,0.25]",0.5,"[0.5,0.5]",0.5,0,"[""PrEP_Pos"", ""PrEP_Neg"", ""PrEP_High"", ""PrEP_Partner""]"
"neg-25-rr-2-delay-30","campaign_prep_by_partnership_delayed.json",6,365,"[0.25,0.25]",0.5,"[0.5,0.5]",0.5,30,"[""PrEP_Pos"", ""PrEP_Neg"", ""PrEP_High"", ""PrEP_Partner""]"
"neg-25-rr-2-delay-90","campaign_prep_by_partnership_delayed.json",6,365,"[0.25,0.25]",0.5,"[0.5,0.5]",0.5,90,"[""PrEP_Pos"", ""PrEP_Neg"", ""PrEP_High"", ""PrEP_Partner""]"
"neg-35-rr-2-delay-0","campaign_prep_by_partnership_delayed.json",6,365,"[0.35,0.35]",0.7,"[0.7,0.7]",0.7,0,"[""PrEP_Pos"", ""PrEP_Neg"", ""PrEP_High"", ""PrEP_Partner""]"
"neg-35-rr-2-delay-30","campaign_prep_by_partnership_delayed.json",6,365,"[0.35,0.35]",0.7,"[0.7,0.7]",0.7,30,"[""PrEP_Pos"", ""PrEP_Neg"", ""PrEP_High"", ""PrEP_Partner""]"
"neg-35-rr-2-delay-90","campaign_prep_by_partnership_delayed.json",6,365,"[0.35,0.35]",0.7,"[0.7,0.7]",0.7,90,"[""PrEP_Pos"", ""PrEP_Neg"", ""PrEP_High"", ""PrEP_Partner""]"
"neg-45-rr-2-delay-0","campaign_prep_by_partnership_delayed.json",6,365,"[0.45,0.45]",0.9,"[0.9,0.9]",0.9,0,"[""PrEP_Pos"", ""PrEP_Neg"", ""PrEP_High"", ""PrEP_Partner""]"
"neg-45-rr-2-delay-30","campaign_prep_by_partnership_delayed.json",6,365,"[0.45,0.45]",0.9,"[0.9,0.9]",0.9,30,"[""PrEP_Pos"", ""PrEP_Neg"", ""PrEP_High"", ""PrEP_Partner""]"
"neg-45-rr-2-delay-90","campaign_prep_by_partnership_delayed.json",6,365,"[0.45,0.45]",0.9,"[0.9,0.9]",0.9,90,"[""PrEP_Pos"", ""PrEP_Neg"", ""PrEP_High"", ""PrEP_Partner""]"
"neg-5-rr-3-delay-0","campaign_prep_by_partnership_delayed.json",6,365,"[0.05,0.05]",0.15,"[0.15,0.15]",0.15,0,"[""PrEP_Pos"", ""PrEP_Neg"", ""PrEP_High"", ""PrEP_Partner""]"
"neg-5-rr-3-delay-30","campaign_prep_by_partnership_delayed.json",6,365,"[0.05,0.05]",0.15,"[0.15,0.15]",0.15,30,"[""PrEP_Pos"", ""PrEP_Neg"", ""PrEP_High"", ""PrEP_Partner""]"
"neg-5-rr-3-delay-90","campaign_prep_by_partnership_delayed.json",6,365,"[0.05,0.05]",0.15,"[0.15,0.15]",0.15,90,"[""PrEP_Pos"", ""PrEP_Neg"", ""PrEP_High"", ""PrEP_Partner""]"
"neg-15-rr-3-delay-0","campaign_prep_by_partnership_delayed.json",6,365,"[0.15,0.15]",0.45,"[0.45,0.45]",0.45,0,"[""PrEP_Pos"", ""PrEP_Neg"", ""PrEP_High"", ""PrEP_Partner""]"
"neg-15-rr-3-delay-30","campaign_prep_by_partnership_delayed.json",6,365,"[0.15,0.15]",0.45,"[0.45,0.45]",0.45,30,"[""PrEP_Pos"", ""PrEP_Neg"", ""PrEP_High"", ""PrEP_Partner""]"
"neg-15-rr-3-delay-90","campaign_prep_by_partnership_delayed.json",6,365,"[0.15,0.15]",0.45,"[0.45,0.45]",0.45,90,"[""PrEP_Pos"", ""PrEP_Neg"", ""PrEP_High"", ""PrEP_Partner""]"
"neg-25-rr-3-delay-0","campaign_prep_by_partnership_delayed.json",6,365,"[0.25,0.25]",0.75,"[0.75,0.75]",0.75,0,"[""PrEP_Pos"", ""PrEP_Neg"", ""PrEP_High"", ""PrEP_Partner""]"
"neg-25-rr-3-delay-30","campaign_prep_by_partnership_delayed.json",6,365,"[0.25,0.25]",0.75,"[0.75,0.75]",0.75,30,"[""PrEP_Pos"", ""PrEP_Neg"", ""PrEP_High"", ""PrEP_Partner""]"
"neg-25-rr-3-delay-90","campaign_prep_by_partnership_delayed.json",6,365,"[0.25,0.25]",0.75,"[0.75,0.75]",0.75,90,"[""PrEP_Pos"", ""PrEP_Neg"", ""PrEP_High"", ""PrEP_Partner""]"
"neg-6-rr-5-delay-0","campaign_prep_by_partnership_delayed.json",6,365,"[0.06,0.06]",0.3,"[0.3,0.3]",0.3,0,"[""PrEP_Pos"", ""PrEP_Neg"", ""PrEP_High"", ""PrEP_Partner""]"
"neg-6-rr-5-delay-30","campaign_prep_by_partnership_delayed.json",6,365,"[0.06,0.06]",0.3,"[0.3,0.3]",0.3,30,"[""PrEP_Pos"", ""PrEP_Neg"", ""PrEP_High"", ""PrEP_Partner""]"
"neg-6-rr-5-delay-90","campaign_prep_by_partnership_delayed.json",6,365,"[0.06,0.06]",0.3,"[0.3,0.3]",0.3,90,"[""PrEP_Pos"", ""PrEP_Neg"", ""PrEP_High"", ""PrEP_Partner""]"
"neg-12-rr-5-delay-0","campaign_prep_by_partnership_delayed.json",6,365,"[0.12,0.12]",0.6,"[0.6,0.6]",0.6,0,"[""PrEP_Pos"", ""PrEP_Neg"", ""PrEP_High"", ""PrEP_Partner""]"
"neg-12-rr-5-delay-30","campaign_prep_by_partnership_delayed.json",6,365,"[0.12,0.12]",0.6,"[0.6,0.6]",0.6,30,"[""PrEP_Pos"", ""PrEP_Neg"", ""PrEP_High"", ""PrEP_Partner""]"
"neg-12-rr-5-delay-90","campaign_prep_by_partnership_delayed.json",6,365,"[0.12,0.12]",0.6,"[0.6,0.6]",0.6,90,"[""PrEP_Pos"", ""PrEP_Neg"", ""PrEP_High"", ""PrEP_Partner""]"
"neg-18-rr-5-delay-0","campaign_prep_by_partnership_delayed.json",6,365,"[0.18,0.18]",0.9,"[0.9,0.9]",0.9,0,"[""PrEP_Pos"", ""PrEP_Neg"", ""PrEP_High"", ""PrEP_Partner""]"
"neg-18-rr-5-delay-30","campaign_prep_by_partnership_delayed.json",6,365,"[0.18,0.18]",0.9,"[0.9,0.9]",0.9,30,"[""PrEP_Pos"", ""PrEP_Neg"", ""PrEP_High"", ""PrEP_Partner""]"
"neg-18-rr-5-delay-90","campaign_prep_by_partnership_delayed.json",6,365,"[0.18,0.18]",0.9,"[0.9,0.9]",0.9,90,"[""PrEP_Pos"", ""PrEP_Neg"", ""PrEP_High"", ""PrEP_Partner""]"
